Field,Type,Null,Key,Default,Extra
id,int,NO,PRI,NULL,auto_increment
name,varchar(255),YES,MUL,NULL,
contact,varchar(255),YES,MUL,NULL,
pincode,varchar(255),YES,,NULL,
username,varchar(125),NO,MUL,NULL,
password,varchar(125),NO,,NULL,
flag,varchar(100),NO,MUL,NULL,
product,int,YES,MUL,NULL,
sub_product,int,YES,,NULL,
status,tinyint,NO,MUL,1,
created_date,datetime,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
modified_date,varchar(50),YES,,NULL,
designation,varchar(100),YES,MUL,NULL,
team,varchar(255),YES,,NULL,
branch_id,int,YES,,NULL,
last_active,datetime,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
login_status,int,NO,,0,
refercode,varchar(255),YES,MUL,NULL,
tm_allocated_user,varchar(255),YES,MUL,NULL,
allocated_partner,varchar(1000),YES,,NULL,
rm_allocated_user,varchar(255),NO,MUL,NULL,
rm_am_allocate,varchar(255),NO,MUL,NULL,
back_am_allocate,varchar(255),NO,,NULL,
back_allocated_user,varchar(255),NO,,NULL,
lead_allocated,int,NO,MUL,NULL,
created_by,varchar(255),YES,,NULL,
zm_allocated,varchar(255),YES,,NULL,
bm_allocated,varchar(255),YES,,NULL,
qrcode,varchar(50),NO,,NULL,
city,varchar(255),NO,,NULL,
state,varchar(255),NO,,NULL,
priority_partner,int,NO,,NULL,
partner_id,int,YES,,NULL,
partner_type,varchar(222),YES,,NULL,
